sku,title,image,description,galleryThumbs,gallery,performance,color,Várható szállítás,Energia osztály,Wi-Fi vezérlés,Termék adatlap,Használati utasítás,CE minősítés,Hatékonyság SCOP érték,Kültéri egység mérete,Beltéri egység mérete,Kültéri egység nettó súlya,Beltéri egység nettó súlya,Hűtőközeg,Szállítási költség
CH-S09FTXD2-NG-WHITE,"  C&H Daytona CH-S09FTXD2-NG klímaberendezés 2,7 kW R32 - fehér
",https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE/500x500/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573,,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE_altpic_1/100x100/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE_altpic_2/100x100/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE_altpic_1/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE_altpic_2/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.2,732x555x330,889x294x212,"23,5 kg",11 kg,R32,INGYENES
CH-S09FTXD2-NG-BLACK,"  C&H Daytona CH-S09FTXD2-NG klímaberendezés 2,7 kW R32 - fekete
",https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK/500x500/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_1/100x100/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_2/100x100/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_1/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_2/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.2,732x555x330,889x294x212,"23,5 kg",11 kg,R32,INGYENES
CH-S18FTXD2-NG-SILVER,"  C&H Daytona CH-S18FTXD2-NG klímaberendezés 5,2 kW R32 - ezüst
",https://www.cooperklima.hu/img/82802/CH-S18FTXD2-NG-SILVER/500x500/CH-S18FTXD2-NG-SILVER.jpg?time=1715861614,,https://www.cooperklima.hu/img/82802/CH-S18FTXD2-NG-SILVER_altpic_1/100x100/CH-S18FTXD2-NG-SILVER.jpg?time=1715861614|https://www.cooperklima.hu/img/82802/CH-S18FTXD2-NG-SILVER_altpic_2/100x100/CH-S18FTXD2-NG-SILVER.jpg?time=1715861614,https://www.cooperklima.hu/img/82802/CH-S18FTXD2-NG-SILVER_altpic_1/CH-S18FTXD2-NG-SILVER.jpg?time=1715861614|https://www.cooperklima.hu/img/82802/CH-S18FTXD2-NG-SILVER_altpic_2/CH-S18FTXD2-NG-SILVER.jpg?time=1715861614,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.2,802x555x350,1013x307x221,"30,5 kg","13,5 kg",R32,INGYENES
CH-S12FTXD2-NG-WHITE,"  C&H Daytona CH-S12FTXD2-NG klímaberendezés 3,5 kW R32 - fehér
",https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE/500x500/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601,,https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE_altpic_1/100x100/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601|https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE_altpic_2/100x100/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601,https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE_altpic_1/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601|https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE_altpic_2/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.1,732x555x330,889x294x212,"24,5 kg",11 kg,R32,INGYENES
CH-S12FTXD2-NG-WHITE,"  C&H Daytona CH-S12FTXD2-NG klímaberendezés 3,5 kW R32 - fehér
",https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE/500x500/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601,,https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE_altpic_1/100x100/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601|https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE_altpic_2/100x100/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601,https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE_altpic_1/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601|https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-WHITE_altpic_2/CH-S12FTXD2-NG-WHITE.jpg?time=1715861601,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.1,732x555x330,889x294x212,"24,5 kg",11 kg,R32,INGYENES
CH-S09FTXD2-NG-SILVER,"  C&H Daytona CH-S09FTXD2-NG klímaberendezés 2,7 kW R32 - ezüst
",https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-SILVER/500x500/CH-S09FTXD2-NG-SILVER.jpg?time=1715861559,,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-SILVER_altpic_1/100x100/CH-S09FTXD2-NG-SILVER.jpg?time=1715861559|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-SILVER_altpic_2/100x100/CH-S09FTXD2-NG-SILVER.jpg?time=1715861559,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-SILVER_altpic_1/CH-S09FTXD2-NG-SILVER.jpg?time=1715861559|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-SILVER_altpic_2/CH-S09FTXD2-NG-SILVER.jpg?time=1715861559,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.2,732x555x330,889x294x212,"23,5 kg",11 kg,R32,INGYENES
CH-S09FTXD2-NG-WHITE,"  C&H Daytona CH-S09FTXD2-NG klímaberendezés 2,7 kW R32 - fehér
",https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE/500x500/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573,,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE_altpic_1/100x100/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE_altpic_2/100x100/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE_altpic_1/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-WHITE_altpic_2/CH-S09FTXD2-NG-WHITE.jpg?time=1715861573,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.2,732x555x330,889x294x212,"23,5 kg",11 kg,R32,INGYENES
CH-S09FTXD2-NG-BLACK,"  C&H Daytona CH-S09FTXD2-NG klímaberendezés 2,7 kW R32 - fekete
",https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK/500x500/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_1/100x100/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_2/100x100/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_1/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_2/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.2,732x555x330,889x294x212,"23,5 kg",11 kg,R32,INGYENES
CH-S09FTXD2-NG-BLACK,"  C&H Daytona CH-S09FTXD2-NG klímaberendezés 2,7 kW R32 - fekete
",https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK/500x500/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_1/100x100/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_2/100x100/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_1/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_2/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.2,732x555x330,889x294x212,"23,5 kg",11 kg,R32,INGYENES
CH-S12FTXD2-NG-SILVER,"  C&H Daytona CH-S12FTXD2-NG klímaberendezés 3,5 kW R32 - ezüst
",https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-SILVER/500x500/CH-S12FTXD2-NG-SILVER.jpg?time=1715861593,,https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-SILVER_altpic_1/100x100/CH-S12FTXD2-NG-SILVER.jpg?time=1715861593|https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-SILVER_altpic_2/100x100/CH-S12FTXD2-NG-SILVER.jpg?time=1715861593,https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-SILVER_altpic_1/CH-S12FTXD2-NG-SILVER.jpg?time=1715861593|https://www.cooperklima.hu/img/82802/CH-S12FTXD2-NG-SILVER_altpic_2/CH-S12FTXD2-NG-SILVER.jpg?time=1715861593,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.1,732x555x330,889x294x212,"24,5 kg",11 kg,R32,INGYENES
CH-S09FTXD2-NG-BLACK,"  C&H Daytona CH-S09FTXD2-NG klímaberendezés 2,7 kW R32 - fekete
",https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK/500x500/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_1/100x100/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_2/100x100/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_1/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582|https://www.cooperklima.hu/img/82802/CH-S09FTXD2-NG-BLACK_altpic_2/CH-S09FTXD2-NG-BLACK.jpg?time=1715861582,"2,7 kW|3,5 kW|5,2 kW",fehér|fekete|ezüst,2024.10.07,A++/A+++,igen,Letöltöm,Letöltöm,Letöltöm,4.2,732x555x330,889x294x212,"23,5 kg",11 kg,R32,INGYENES
